Bhagawat | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] Baghawat.mp3 | test | test | 
Dil De bol | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] Dil de Bol.mp3 | test | test | 
Dooriyan | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] Dooriyan (feat. Kaprila).mp3 | test | test | 
Dou Pal | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] Dou Pal.mp3 | test | test |
Faaslay | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] Faaslay.mp3 | test | test |
Ghalat Fehmi | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] Ghalat Fehmi - From _Superstar_.mp3 | test | test |
Heeriye | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] Heeriye (feat. Arijit Singh).mp3 | test | test |
Ikhtilaf | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] IKHTILAF.mp3 | test | test |
Intezaar | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] intezaar.mp3 | test | test |
Introduction | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] Introduction.mp3 | test | test |
Jo To Na Mila | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] Jo Tu Na Mila.mp3 | test | test |
Laaree Chootee | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] Laaree Chootee.mp3 | test | test |
Main Dhoondne Ko Zamaane Mein | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] Main Dhoondne Ko Zamaane Mein.mp3 | test | test |
Maula Vey | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] Maula Vey.mp3 | test | test |
Meri Tu | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] Meri Tu.mp3 | test | test |
Pasoori | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] Pasoori.mp3 | test | test |
Pehli Dafa | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] Pehli Dafa.mp3 | test | test |
Pehli Si Muhabbat | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] Pehli Si Muhabbat.mp3 | test | test |
Ye Dunya | D:/Semester 3/Project DSA/DSA_PROJECT/Dani Branch/DSA_PROJECT/Songs/[SPOTIFY-DOWNLOADER.COM] Ye Dunya.mp3 | test | test |
 
